time,open,high,low,close,volume
2026-06-04 10:50:00,4471.431,4471.525,4468.323,4470.896,811
2026-06-04 10:55:00,4470.833,4473.95,4469.605,4473.468,664
2026-06-04 11:00:00,4473.535,4475.564,4468.692,4472.016,984
2026-06-04 11:05:00,4472.07,4478.252,4471.658,4477.306,915
2026-06-04 11:10:00,4477.539,4478.671,4473.371,4473.682,979
2026-06-04 11:15:00,4473.667,4479.052,4473.631,4477.715,1047
2026-06-04 11:20:00,4477.796,4480.462,4476.505,4478.691,993
2026-06-04 11:25:00,4478.681,4491.68,4477.565,4489.382,1923
2026-06-04 11:30:00,4489.437,4492.78,4484.683,4485.38,1399
2026-06-04 11:35:00,4485.366,4488.401,4482.309,4487.741,1272
2026-06-04 11:40:00,4487.81,4492.184,4486.481,4491.247,1688
2026-06-04 11:45:00,4491.304,4504.36,4491.304,4500.999,2336
2026-06-04 11:50:00,4500.942,4504.784,4500.6,4503.544,1625
2026-06-04 11:55:00,4503.598,4514.667,4503.598,4511.318,1828
2026-06-04 12:00:00,4511.533,4513.836,4497.177,4497.454,2211
2026-06-04 12:05:00,4497.502,4503.69,4494.364,4498.035,1896
2026-06-04 12:10:00,4498.263,4499.298,4491.654,4493.929,1691
2026-06-04 12:15:00,4494.005,4495.689,4491.0,4492.519,1290
2026-06-04 12:20:00,4492.575,4499.014,4492.365,4497.365,1267
2026-06-04 12:25:00,4497.423,4500.004,4495.617,4498.648,956
2026-06-04 12:30:00,4498.553,4501.353,4496.877,4499.005,867
2026-06-04 12:35:00,4499.009,4502.086,4496.908,4498.758,979
2026-06-04 12:40:00,4498.845,4502.159,4498.845,4501.992,965
2026-06-04 12:45:00,4502.015,4504.892,4499.074,4504.639,872
2026-06-04 12:50:00,4504.697,4510.973,4502.089,4508.164,1844
2026-06-04 12:55:00,4508.222,4510.092,4502.599,4504.226,1052
2026-06-04 13:00:00,4503.878,4510.123,4500.034,4505.205,2177
2026-06-04 13:05:00,4505.27,4508.655,4503.522,4504.792,1333
2026-06-04 13:10:00,4504.991,4505.514,4501.887,4503.337,1000
2026-06-04 13:15:00,4503.25,4508.889,4503.127,4507.594,915
2026-06-04 13:20:00,4507.508,4509.496,4504.145,4504.972,1021
2026-06-04 13:25:00,4504.918,4506.452,4501.564,4504.75,1135
2026-06-04 13:30:00,4504.808,4507.502,4502.039,4505.989,2583
2026-06-04 13:35:00,4505.928,4512.357,4504.817,4509.412,2398
2026-06-04 13:40:00,4509.186,4515.09,4505.055,4514.625,2325
2026-06-04 13:45:00,4514.539,4515.517,4507.328,4510.159,2138
2026-06-04 13:50:00,4510.128,4512.402,4497.792,4498.674,2084
2026-06-04 13:55:00,4498.731,4503.045,4495.562,4495.677,2159
2026-06-04 14:00:00,4495.908,4499.871,4494.485,4495.554,2365
2026-06-04 14:05:00,4495.494,4499.994,4488.016,4490.132,2080
2026-06-04 14:10:00,4490.192,4492.261,4485.863,4487.819,2046
2026-06-04 14:15:00,4487.762,4493.908,4485.386,4487.823,1723
2026-06-04 14:20:00,4487.744,4489.334,4484.392,4485.293,1606
2026-06-04 14:25:00,4485.207,4487.833,4483.813,4486.275,1584
2026-06-04 14:30:00,4486.338,4486.83,4481.221,4484.335,1665
2026-06-04 14:35:00,4484.096,4484.336,4477.584,4480.393,1708
2026-06-04 14:40:00,4480.124,4480.86,4472.24,4474.904,2023
2026-06-04 14:45:00,4474.958,4475.584,4464.962,4466.509,2220
2026-06-04 14:50:00,4466.452,4470.274,4457.174,4463.863,3240
2026-06-04 14:55:00,4463.801,4466.405,4460.012,4465.958,2060
2026-06-04 15:00:00,4465.738,4470.823,4463.575,4470.207,1529
2026-06-04 15:05:00,4470.208,4472.571,4467.083,4470.388,1277
2026-06-04 15:10:00,4470.258,4474.784,4469.762,4471.903,1498
2026-06-04 15:15:00,4471.958,4473.959,4471.152,4473.222,960
2026-06-04 15:20:00,4473.231,4473.881,4470.422,4470.857,883
2026-06-04 15:25:00,4470.914,4472.281,4468.981,4471.09,988
2026-06-04 15:30:00,4471.037,4472.868,4469.733,4471.679,1199
2026-06-04 15:35:00,4471.737,4477.113,4470.856,4476.847,959
2026-06-04 15:40:00,4476.886,4477.276,4470.973,4472.755,732
2026-06-04 15:45:00,4472.728,4475.584,4469.844,4474.5,889
2026-06-04 15:50:00,4474.328,4479.255,4474.255,4477.84,921
2026-06-04 15:55:00,4477.786,4478.718,4476.35,4477.56,692
2026-06-04 16:00:00,4477.263,4478.703,4476.05,4476.591,618
2026-06-04 16:05:00,4476.531,4482.849,4475.282,4482.485,804
2026-06-04 16:10:00,4482.425,4484.249,4479.215,4479.233,1074
2026-06-04 16:15:00,4479.259,4484.806,4479.259,4483.171,838
2026-06-04 16:20:00,4483.137,4484.883,4480.192,4484.058,639
2026-06-04 16:25:00,4484.059,4485.225,4482.278,4483.569,495
